[소노] 2026년 06월 예약가능 잔여객실 현황
수집일시: 2026-06-14 07:03
==================================================

■ 지점명: 소노문 해운대 (경상)
  - 2026년 06월 21일 (일요일) | 스탠다드 | 예약가능 (75실)
  - 2026년 06월 23일 (화요일) | 스탠다드 | 예약가능 (60실)
  - 2026년 06월 24일 (수요일) | 스탠다드 | 예약가능 (74실)
  - 2026년 06월 28일 (일요일) | 스탠다드 | 예약가능 (79실)
  - 2026년 06월 30일 (화요일) | 스탠다드 | 예약가능 (77실)

■ 지점명: 소노벨 단양 East (충청)
  - 2026년 06월 14일 (일요일) | 스위트 | 예약가능 (61실)
  - 2026년 06월 15일 (월요일) | 스위트 | 예약가능 (70실)
  - 2026년 06월 17일 (수요일) | 스위트 | 예약가능 (56실)
  - 2026년 06월 17일 (수요일) | 패밀리 | 예약가능 (93실)
  - 2026년 06월 18일 (목요일) | 패밀리 | 예약가능 (58실)
  - 2026년 06월 19일 (금요일) | 패밀리 | 예약가능 (81실)
  - 2026년 06월 21일 (일요일) | 스위트 | 예약가능 (79실)
  - 2026년 06월 21일 (일요일) | 패밀리 | 예약가능 (93실)
  - 2026년 06월 22일 (월요일) | 스위트 | 예약가능 (92실)
  - 2026년 06월 23일 (화요일) | 스위트 | 예약가능 (97실)
  - 2026년 06월 23일 (화요일) | 패밀리 | 예약가능 (52실)
  - 2026년 06월 23일 (화요일) | 패밀리 | 예약가능 (147실)
  - 2026년 06월 24일 (수요일) | 스위트 | 예약가능 (96실)
  - 2026년 06월 24일 (수요일) | 패밀리 | 예약가능 (119실)
  - 2026년 06월 24일 (수요일) | 패밀리 | 예약가능 (53실)
  - 2026년 06월 25일 (목요일) | 스위트 | 예약가능 (81실)
  - 2026년 06월 25일 (목요일) | 패밀리 | 예약가능 (52실)
  - 2026년 06월 25일 (목요일) | 패밀리 | 예약가능 (98실)
  - 2026년 06월 26일 (금요일) | 스위트 | 예약가능 (61실)
  - 2026년 06월 28일 (일요일) | 스위트 | 예약가능 (87실)
  - 2026년 06월 28일 (일요일) | 패밀리 | 예약가능 (106실)
  - 2026년 06월 30일 (화요일) | 패밀리 | 예약가능 (140실)
  - 2026년 06월 30일 (화요일) | 패밀리 | 예약가능 (53실)

■ 지점명: 소노벨 델피노 East (강원)
  - 2026년 06월 15일 (월요일) | 스위트 | 예약가능 (50실)
  - 2026년 06월 15일 (월요일) | 스위트 | 예약가능 (90실)
  - 2026년 06월 17일 (수요일) | 스위트 | 예약가능 (50실)
  - 2026년 06월 17일 (수요일) | 스위트 | 예약가능 (94실)
  - 2026년 06월 18일 (목요일) | 스위트 | 예약가능 (92실)
  - 2026년 06월 19일 (금요일) | 스위트 | 예약가능 (55실)
  - 2026년 06월 21일 (일요일) | 스위트 | 예약가능 (77실)
  - 2026년 06월 22일 (월요일) | 스위트 | 예약가능 (92실)
  - 2026년 06월 23일 (화요일) | 스위트 | 예약가능 (94실)
  - 2026년 06월 23일 (화요일) | 스위트 | 예약가능 (50실)
  - 2026년 06월 23일 (화요일) | 패밀리 | 예약가능 (51실)
  - 2026년 06월 24일 (수요일) | 스위트 | 예약가능 (96실)
  - 2026년 06월 24일 (수요일) | 스위트 | 예약가능 (50실)
  - 2026년 06월 24일 (수요일) | 패밀리 | 예약가능 (52실)
  - 2026년 06월 25일 (목요일) | 스위트 | 예약가능 (90실)
  - 2026년 06월 28일 (일요일) | 스위트 | 예약가능 (80실)
  - 2026년 06월 28일 (일요일) | 스위트 | 예약가능 (50실)
  - 2026년 06월 30일 (화요일) | 스위트 | 예약가능 (53실)
  - 2026년 06월 30일 (화요일) | 스위트 | 예약가능 (95실)
  - 2026년 06월 30일 (화요일) | 패밀리 | 예약가능 (58실)

■ 지점명: 소노벨 변산 리조트 (전라)
  - 2026년 06월 14일 (일요일) | 스위트 | 예약가능 (53실)
  - 2026년 06월 15일 (월요일) | 패밀리 | 예약가능 (65실)
  - 2026년 06월 30일 (화요일) | 스위트 | 예약가능 (55실)
  - 2026년 06월 30일 (화요일) | 패밀리 | 예약가능 (86실)

■ 지점명: 소노벨 비발디파크 A (강원)
  - 2026년 06월 19일 (금요일) | 스위트 | 예약가능 (59실)
  - 2026년 06월 26일 (금요일) | 스위트 | 예약가능 (56실)
  - 2026년 06월 26일 (금요일) | 스위트 | 예약가능 (50실)

■ 지점명: 소노벨 비발디파크 B · C (강원)
  - 2026년 06월 14일 (일요일) | 스위트 B동 | 예약가능 (83실)
  - 2026년 06월 14일 (일요일) | 스위트 B동 | 예약가능 (54실)
  - 2026년 06월 14일 (일요일) | 스위트 C동 | 예약가능 (82실)
  - 2026년 06월 14일 (일요일) | 스위트 C동 | 예약가능 (87실)
  - 2026년 06월 15일 (월요일) | 스위트 B동 | 예약가능 (157실)
  - 2026년 06월 15일 (월요일) | 스위트 B동 | 예약가능 (80실)
