========================================================================
  한화리조트 예약가능 객실 현황
  수집일시 : 2026-06-15 01:12:11
  수집기간 : 2026년 06월 ~ 2026년 08월
  대상리조트: 설악 쏘라노, 설악 별관, 용인베잔송, 산정호수 안시, 대천 파로스, 경주 에톤, 경주 담톤, 제주, 평창, 거제 벨버디어, 거제 르 씨엘, 여수 벨메르, 더플라자 호텔, 브리드호텔 양양, 마티에 오시리아, 해운대
========================================================================

────────────────────────────────────────────────────────────────────────
  ■ 설악 쏘라노
────────────────────────────────────────────────────────────────────────

    ○ 디럭스(모던)                        | 예약가능:  119실
    ○ 디럭스                            | 예약가능:  144실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   14실
    ○ 디럭스(트윈베드)                      | 예약가능:   26실
    ○ 디럭스(트윈베드_호텔형)                  | 예약가능:    6실
    ○ 디럭스(원룸)                        | 예약가능:   39실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   43실
    ○ 디럭스(티니핑 프린세스룸_호텔형)             | 예약가능:    4실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    7실
    ○ 디럭스(티니핑 슈팅스타룸_호텔형)             | 예약가능:    4실
    ○ 로얄                             | 예약가능:    4실
    ○ 로얄(모던)                         | 예약가능:    3실
    ○ 로얄(유러피언_호텔형)                   | 예약가능:    1실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:   20실

  [2026.06 24 (수)]
    ○ 디럭스(모던)                        | 예약가능:  104실
    ○ 디럭스                            | 예약가능:  195실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   14실
    ○ 디럭스(트윈베드)                      | 예약가능:   12실
    ○ 디럭스(트윈베드_호텔형)                  | 예약가능:   12실
    ○ 디럭스(원룸)                        | 예약가능:   41실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   43실
    ○ 디럭스(티니핑 프린세스룸_호텔형)             | 예약가능:    4실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    6실
    ○ 디럭스(티니핑 슈팅스타룸_호텔형)             | 예약가능:    4실
    ○ 로얄                             | 예약가능:    3실
    ○ 로얄(모던)                         | 예약가능:    6실
    ○ 로얄(유러피언_호텔형)                   | 예약가능:    2실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:   21실

  [2026.06 25 (목)]
    ○ 디럭스(모던)                        | 예약가능:   89실
    ○ 디럭스                            | 예약가능:  163실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   12실
    ○ 디럭스(트윈베드)                      | 예약가능:    6실
    ○ 디럭스(원룸)                        | 예약가능:   37실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   39실
    ○ 디럭스(티니핑 프린세스룸_호텔형)             | 예약가능:    2실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    5실
    ○ 디럭스(티니핑 슈팅스타룸_호텔형)             | 예약가능:    3실
    ○ 로얄                             | 예약가능:    1실
    ○ 로얄(모던)                         | 예약가능:    6실
    ○ 로얄(유러피언_호텔형)                   | 예약가능:    1실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:   19실

  [2026.06 26 (금)]
    ○ 디럭스(모던)                        | 예약가능:   44실
    ○ 디럭스                            | 예약가능:   64실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   12실
    ○ 디럭스(트윈베드)                      | 예약가능:   13실
    ○ 디럭스(원룸)                        | 예약가능:   10실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   28실
    ○ 로얄                             | 예약가능:    1실
    ○ 로얄(모던)                         | 예약가능:    2실
    ○ 로얄(유러피언_호텔형)                   | 예약가능:    1실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:   14실

  [2026.06 27 (토)]
    ○ 디럭스(모던)                        | 예약가능:   18실
    ○ 디럭스                            | 예약가능:    6실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:    6실
    ○ 디럭스(트윈베드)                      | 예약가능:   13실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:    3실
    ○ 로얄                             | 예약가능:    1실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:   10실

  [2026.06 28 (일)]
    ○ 디럭스(모던)                        | 예약가능:   19실
    ○ 디럭스                            | 예약가능:   91실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   11실
    ○ 디럭스(트윈베드)                      | 예약가능:    2실
    ○ 디럭스(원룸)                        | 예약가능:   33실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   34실
    ○ 로얄                             | 예약가능:    1실
    ○ 로얄(모던)                         | 예약가능:    1실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:   15실

  [2026.06 29 (월)]
    ○ 디럭스(모던)                        | 예약가능:   75실
    ○ 디럭스                            | 예약가능:  164실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   16실
    ○ 디럭스(트윈베드_호텔형)                  | 예약가능:    1실
    ○ 디럭스(원룸)                        | 예약가능:   37실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   37실
    ○ 디럭스(티니핑 프린세스룸_호텔형)             | 예약가능:    3실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    7실
